Season,DayNum,WTeamID,LTeamID,CRType,CityID
2015,11,3103,3127,Regular,4002
2015,11,3104,3197,Regular,4353
2015,11,3107,3383,Regular,4384
2015,11,3113,3292,Regular,4343
2015,11,3114,3261,Regular,4024
2015,11,3116,3311,Regular,4119
2015,11,3117,3238,Regular,4172
2015,11,3120,3407,Regular,4018
2015,11,3124,3331,Regular,4362
2015,11,3129,3286,Regular,4035
2015,11,3136,3263,Regular,4317
2015,11,3137,3132,Regular,4042
2015,11,3148,3220,Regular,4151
2015,11,3150,3251,Regular,4206
2015,11,3151,3437,Regular,4068
2015,11,3155,3422,Regular,4074
2015,11,3156,3405,Regular,4075
2015,11,3163,3413,Regular,4090
2015,11,3167,3102,Regular,4021
2015,11,3169,3225,Regular,4249
2015,11,3186,3430,Regular,4257
2015,11,3187,3193,Regular,4336
2015,11,3190,3421,Regular,4013
2015,11,3192,3264,Regular,4045
2015,11,3195,3203,Regular,4123
2015,11,3196,3239,Regular,4128
2015,11,3199,3412,Regular,4341
2015,11,3202,3172,Regular,4139
2015,11,3206,3439,Regular,4115
2015,11,3207,3271,Regular,4363
2015,11,3208,3288,Regular,4014
2015,11,3210,3260,Regular,4071
2015,11,3216,3165,Regular,4164
2015,11,3218,3161,Regular,4121
2015,11,3222,3317,Regular,4095
2015,11,3227,3133,Regular,4071
2015,11,3228,3236,Regular,4060
2015,11,3232,3387,Regular,4344
2015,11,3233,3200,Regular,4045
2015,11,3234,3367,Regular,4162
2015,11,3241,3417,Regular,4148
2015,11,3243,3188,Regular,4211
2015,11,3244,3158,Regular,4176
2015,11,3246,3111,Regular,4193
2015,11,3248,3174,Regular,4105
2015,11,3252,3204,Regular,4233
2015,11,3253,3370,Regular,4198
2015,11,3257,3237,Regular,4161
2015,11,3267,3348,Regular,4179
2015,11,3268,3291,Regular,4077
2015,11,3272,3283,Regular,4213
2015,11,3274,3324,Regular,4084
2015,11,3276,3178,Regular,4010
2015,11,3278,3368,Regular,4216
2015,11,3279,3212,Regular,4401
2015,11,3280,3273,Regular,4397
2015,11,3287,3313,Regular,4244
2015,11,3294,3374,Regular,4088
2015,11,3295,3245,Regular,4117
2015,11,3296,3229,Regular,4093
2015,11,3297,3175,Regular,4002
2015,11,3299,3298,Regular,4136
2015,11,3300,3441,Regular,4087
2015,11,3301,3398,Regular,4351
2015,11,3305,3364,Regular,4290
2015,11,3306,3312,Regular,4102
2015,11,3314,3224,Regular,4061
2015,11,3318,3131,Regular,4039
2015,11,3319,3414,Regular,4120
2015,11,3320,3409,Regular,4351
2015,11,3321,3152,Regular,4071
2015,11,3323,3262,Regular,4318
2015,11,3325,3293,Regular,4229
2015,11,3328,3449,Regular,4247
2015,11,3329,3258,Regular,4335
2015,11,3330,3342,Regular,4244
2015,11,3332,3429,Regular,4112
2015,11,3333,3339,Regular,4086
2015,11,3336,3406,Regular,4355
2015,11,3343,3338,Regular,4270
2015,11,3345,3123,Regular,4227
2015,11,3349,3341,Regular,4157
2015,11,3350,3344,Regular,4292
2015,11,3353,3386,Regular,4269
2015,11,3355,3140,Regular,4046
2015,11,3356,3404,Regular,4212
2015,11,3361,3170,Regular,4303
2015,11,3362,3162,Regular,4304
2015,11,3369,3105,Regular,4054
2015,11,3371,3351,Regular,4320
2015,11,3373,3138,Regular,4049
