ID,Pred
2018_3110_3113,0.15737542507012248
2018_3110_3114,0.48156027234233106
2018_3110_3124,0.0
2018_3110_3125,0.2774492970069163
2018_3110_3129,0.7409166527349844
2018_3110_3138,0.3441656028074947
2018_3110_3141,0.30745905338366586
2018_3110_3143,0.15679433445229526
2018_3110_3163,0.0
2018_3110_3166,0.31290089033522284
2018_3110_3169,0.7661909288504954
2018_3110_3173,0.24784683032687213
2018_3110_3177,0.07024380941073526
2018_3110_3179,0.4318631668443439
2018_3110_3181,0.0
2018_3110_3189,0.457003835856782
2018_3110_3195,0.22189407914045844
2018_3110_3199,0.0
2018_3110_3203,0.5085343152680484
2018_3110_3208,0.0
2018_3110_3211,0.3883763147246775
2018_3110_3212,0.6018926826276647
2018_3110_3234,0.15557730497154276
2018_3110_3251,0.47064846336214483
2018_3110_3257,0.0
2018_3110_3261,0.16450963773916644
2018_3110_3263,0.5846852149961781
2018_3110_3266,0.23429407012656636
2018_3110_3268,0.0
2018_3110_3273,0.4632977966074474
2018_3110_3274,0.21303192384186379
2018_3110_3276,0.14762740516488132
2018_3110_3278,0.2445087900936453
2018_3110_3280,0.0
2018_3110_3281,0.08815287258416268
2018_3110_3294,0.25621959616944356
2018_3110_3299,0.5609110777935461
2018_3110_3301,0.0
2018_3110_3304,0.23920726244348525
2018_3110_3311,0.7677796199664264
2018_3110_3323,0.0
2018_3110_3326,0.0
2018_3110_3328,0.26269263842003965
2018_3110_3329,0.2536359379431763
2018_3110_3332,0.0
2018_3110_3333,0.15991887796959575
2018_3110_3343,0.22145346056432622
2018_3110_3346,0.2590738344670737
2018_3110_3355,0.2089000086318728
2018_3110_3370,0.5805876979231328
2018_3110_3376,0.0
2018_3110_3378,0.15923886770040965
2018_3110_3384,0.755001035579289
2018_3110_3390,0.0
2018_3110_3393,0.2080589805279508
2018_3110_3397,0.0
2018_3110_3400,0.0
2018_3110_3401,0.0
2018_3110_3417,0.0
2018_3110_3437,0.26887534719348705
2018_3110_3438,0.25118457537887773
2018_3110_3443,0.303008726168321
2018_3110_3453,0.1295347236688409
2018_3113_3114,0.837858965896465
2018_3113_3124,0.2136224495981841
2018_3113_3125,0.7180525953686606
2018_3113_3129,0.9283901976357722
2018_3113_3138,0.7635476402773992
2018_3113_3141,0.7304554719674001
2018_3113_3143,0.4974209585568988
2018_3113_3163,0.1693739845383994
2018_3113_3166,0.7361266780931637
2018_3113_3169,1.0
2018_3113_3173,0.7117274465809146
2018_3113_3177,0.2493784947897298
2018_3113_3179,0.7825363569771098
2018_3113_3181,0.23710726620592198
2018_3113_3189,0.7997055881629358
2018_3113_3195,0.6593784410862941
2018_3113_3199,0.22303030791114858
2018_3113_3203,0.853883150847479
2018_3113_3208,0.3224056448287711
2018_3113_3211,0.7420255853450558
2018_3113_3212,0.8589166543650031
2018_3113_3234,0.4315698203654056
2018_3113_3251,0.8303440097279323
2018_3113_3257,0.20789250840842718
2018_3113_3261,0.4503960407609644
2018_3113_3263,0.8522289677499479
2018_3113_3266,0.5665317466330325
2018_3113_3268,0.2203877243604007
2018_3113_3273,0.8034909705155712
2018_3113_3274,0.5330266206316343
2018_3113_3276,0.4799967994471813
2018_3113_3278,0.6670926884625579
2018_3113_3280,0.21865466078251328
2018_3113_3281,0.2926752698735006
2018_3113_3294,0.6796921003769342
2018_3113_3299,0.8416900677258767
2018_3113_3301,0.3215215272398014
2018_3113_3304,0.6608601284200444
2018_3113_3311,1.0
2018_3113_3323,0.1880733099957698
2018_3113_3326,0.22524653810525777
2018_3113_3328,0.7054757190110057
2018_3113_3329,0.7206736964473502
2018_3113_3332,0.27637193674004534
2018_3113_3333,0.4410226084493272
2018_3113_3343,0.6587599210148116
2018_3113_3346,0.7285245510401214
2018_3113_3355,0.5253858740586221
2018_3113_3370,0.8505274299292775
2018_3113_3376,0.24089348451282483
2018_3113_3378,0.43958124197601744
2018_3113_3384,1.0
2018_3113_3390,0.27222403274047235
2018_3113_3393,0.5237774984766188
2018_3113_3397,0.21612341552419675
2018_3113_3400,0.2574255336888547
2018_3113_3401,0.2957952888065048
2018_3113_3417,0.2514685491293395
2018_3113_3437,0.7414806782007552
2018_3113_3438,0.6744600116868014
2018_3113_3443,0.7255768028175963
2018_3113_3453,0.4380339679135856
2018_3114_3124,0.0
2018_3114_3125,0.2956399994982398
2018_3114_3129,0.7582215330817991
2018_3114_3138,0.36256006063513546
2018_3114_3141,0.3237556395052623
2018_3114_3143,0.16810632167507794
2018_3114_3163,0.0
2018_3114_3166,0.32962338722017503
2018_3114_3169,0.7816445091295947
2018_3114_3173,0.2603347981271087
2018_3114_3177,0.07651281783874546
2018_3114_3179,0.4502665239806979
2018_3114_3181,0.07141159668821878
2018_3114_3189,0.47582188114178886
2018_3114_3195,0.2357656301909467
2018_3114_3199,0.0
2018_3114_3203,0.5271557278739951
2018_3114_3208,0.0
2018_3114_3211,0.40410957235528144
2018_3114_3212,0.617419879639709
2018_3114_3234,0.16429117525957404
2018_3114_3251,0.48921929870147973
2018_3114_3257,0.0
2018_3114_3261,0.17468819489693724
2018_3114_3263,0.6015333698484767
2018_3114_3266,0.24830385249987738
2018_3114_3268,0.0
2018_3114_3273,0.4820961560733525
2018_3114_3274,0.22426385663988765
2018_3114_3276,0.1575400451974951
2018_3114_3278,0.2602710365716321
2018_3114_3280,0.0
2018_3114_3281,0.09761028075560951
2018_3114_3294,0.27294804927466565
2018_3114_3299,0.5790412617942045
2018_3114_3301,0.0
2018_3114_3304,0.25446905330728287
2018_3114_3311,0.7830935643412528
2018_3114_3323,0.0
2018_3114_3326,0.0
2018_3114_3328,0.28014770206991885
2018_3114_3329,0.2668692265268038
2018_3114_3332,0.0
2018_3114_3333,0.1693600870022366
2018_3114_3343,0.23527343373223888
2018_3114_3346,0.27296235393975354
2018_3114_3355,0.21951362058996154
2018_3114_3370,0.5977023207344293
2018_3114_3376,0.0
2018_3114_3378,0.16856808919842953
2018_3114_3384,0.7713608309857932
2018_3114_3390,0.0
2018_3114_3393,0.21854355354756705
2018_3114_3397,0.0
2018_3114_3400,0.0
2018_3114_3401,0.0
2018_3114_3417,0.0
2018_3114_3437,0.283836591127715
2018_3114_3438,0.2675209285660785
2018_3114_3443,0.318926486860885
2018_3114_3453,0.1363036346719086
2018_3124_3125,1.0
2018_3124_3129,1.0
2018_3124_3138,1.0
2018_3124_3141,1.0
2018_3124_3143,0.7726673204202698
2018_3124_3163,0.39694628555980793
2018_3124_3166,1.0
2018_3124_3169,1.0
2018_3124_3173,0.8807251075674238
2018_3124_3177,0.7238508720550836
2018_3124_3179,1.0
2018_3124_3181,0.7140410922717972
2018_3124_3189,1.0
2018_3124_3195,1.0
2018_3124_3199,0.6162199614118486
2018_3124_3203,1.0
2018_3124_3208,0.8162106711433547
2018_3124_3211,1.0
2018_3124_3212,1.0
2018_3124_3234,0.8003790065571507
2018_3124_3251,1.0
2018_3124_3257,0.5147661504080494
2018_3124_3261,0.8086172996923899
2018_3124_3263,1.0
2018_3124_3266,0.842341850218435
2018_3124_3268,0.6973601187200591
2018_3124_3273,1.0
2018_3124_3274,0.8322610654617468
2018_3124_3276,0.7661123488174766
2018_3124_3278,0.8707659461704863
2018_3124_3280,0.5320778952354407
2018_3124_3281,0.7482957588335897
2018_3124_3294,0.8734080708613541
2018_3124_3299,1.0
2018_3124_3301,0.8156541762868412
2018_3124_3304,0.8693643396523079
2018_3124_3311,1.0
2018_3124_3323,0.46959574770392576
2018_3124_3326,0.6187745518946322
2018_3124_3328,1.0
2018_3124_3329,0.8833348259304192
2018_3124_3332,0.6002264787566074
2018_3124_3333,0.8047207064186881
2018_3124_3343,1.0
2018_3124_3346,0.8854670051934735
2018_3124_3355,0.8294979937561553
2018_3124_3370,1.0
2018_3124_3376,0.5596769522761493
2018_3124_3378,0.8040869650980016
2018_3124_3384,1.0
2018_3124_3390,0.7701518046611925
