ID,Pred,Season,WTeamID,LTeamID,WOE_avg,WDE_avg,LOE_avg,LDE_avg,adj_WOE,adj_WDE,adj_LOE,adj_LDE,WEM,LEM,WSeed,LSeed,SeedDiff,WLoc,Type,Pred_regressor
2018_3110_3113,0.16505293543792282,2018,3110,3113,92.00241121230478,85.8943116487278,94.20749420093827,85.7740055918218,91.47379665843582,86.39068312220688,93.66620999042748,86.26968183306037,6.108099563576985,8.433488609116466,14,7,7,0,1,-10.777635389381185
2018_3110_3114,0.41280777804392693,2018,3110,3114,92.00241121230478,85.8943116487278,93.13273619475709,81.76760564494003,91.47379665843582,86.39068312220688,92.59762717809684,82.24012944911021,6.108099563576985,11.365130549817053,14,14,0,0,1,-2.0168352539673124
2018_3110_3124,0.01236716560405627,2018,3110,3124,92.00241121230478,85.8943116487278,111.27193710452586,77.72000937262194,91.47379665843582,86.39068312220688,110.63260641073663,78.16914267179622,6.108099563576985,33.551927731903916,14,2,12,0,1,-29.420985706899504
2018_3110_3125,0.35644513772497755,2018,3110,3125,92.00241121230478,85.8943116487278,96.0877653392647,91.60605932788802,91.47379665843582,86.39068312220688,95.53567773049681,92.13543820962529,6.108099563576985,4.481706011376687,14,12,2,0,1,-3.2765965836578745
2018_3110_3129,0.5973638611973885,2018,3110,3129,92.00241121230478,85.8943116487278,93.88694894347672,91.83072639270924,91.47379665843582,86.39068312220688,93.34750647695975,92.36140359467129,6.108099563576985,2.0562225507674867,14,16,-2,0,1,3.3868584977899685
2018_3110_3138,0.388506675028081,2018,3110,3138,92.00241121230478,85.8943116487278,89.78086646763968,89.05161671076387,91.47379665843582,86.39068312220688,89.26501615406211,89.5662338181596,6.108099563576985,0.7292497568758165,14,11,3,0,1,-1.9366805299472718
2018_3110_3141,0.285004837153068,2018,3110,3141,92.00241121230478,85.8943116487278,100.71507207151858,93.70686550117223,91.47379665843582,86.39068312220688,100.13639753256425,94.24838465431642,6.108099563576985,7.008206570346346,14,11,3,0,1,-6.520761515733523
2018_3110_3143,0.16422280598388395,2018,3110,3143,92.00241121230478,85.8943116487278,96.11848229387235,88.78971486264379,91.47379665843582,86.39068312220688,95.56621819593377,89.30281847509717,6.108099563576985,7.328767431228556,14,7,7,0,1,-10.893857904911155
2018_3110_3163,0.006235057711391242,2018,3110,3163,92.00241121230478,85.8943116487278,118.85941770639586,70.21749780374867,91.47379665843582,86.39068312220688,118.17649193047241,70.62327511518926,6.108099563576985,48.64191990264719,14,1,13,0,1,-37.28520889571417
2018_3110_3166,0.28030335466745465,2018,3110,3166,92.00241121230478,85.8943116487278,97.77768722781947,90.83184594872519,91.47379665843582,86.39068312220688,97.21588990282326,91.35675075728548,6.108099563576985,6.945841279094282,14,11,3,0,1,-5.794548283653175
