,ID,Pred
0,2014_3103_3107,0.7795117061522523
1,2014_3103_3113,0.21026340872046279
2,2014_3103_3119,0.48585562552625094
3,2014_3103_3124,0.030673214670420036
4,2014_3103_3140,0.4395357930629128
5,2014_3103_3143,0.18620393755930204
6,2014_3103_3151,0.25970524441358533
7,2014_3103_3163,0.011548870404666008
8,2014_3103_3169,0.6886083995902934
9,2014_3103_3173,0.1381277428834639
10,2014_3103_3177,0.18620393755930204
11,2014_3103_3181,0.030673214670420036
12,2014_3103_3195,0.4395357930629128
13,2014_3103_3196,0.25970524441358533
14,2014_3103_3199,0.31382914045421595
15,2014_3103_3200,0.31382914045421595
16,2014_3103_3201,0.48585562552625094
17,2014_3103_3208,0.26263142651014104
18,2014_3103_3210,0.31382914045421595
19,2014_3103_3211,0.1381277428834639
20,2014_3103_3214,0.4395357930629128
21,2014_3103_3225,0.5714437383265701
22,2014_3103_3234,0.1381277428834639
23,2014_3103_3235,0.18620393755930204
24,2014_3103_3241,0.25970524441358533
25,2014_3103_3246,0.03019912900625128
26,2014_3103_3257,0.03019912900625128
27,2014_3103_3261,0.18620393755930204
28,2014_3103_3265,0.25970524441358533
29,2014_3103_3268,0.07705679136232645
30,2014_3103_3277,0.15266530432917164
31,2014_3103_3292,0.26263142651014104
32,2014_3103_3301,0.15266530432917164
33,2014_3103_3304,0.07705679136232645
34,2014_3103_3314,0.07705679136232645
35,2014_3103_3315,0.5714437383265701
36,2014_3103_3322,0.6886083995902934
37,2014_3103_3323,0.011548870404666008
38,2014_3103_3328,0.31382914045421595
39,2014_3103_3329,0.15266530432917164
40,2014_3103_3333,0.21026340872046279
41,2014_3103_3335,0.4395357930629128
42,2014_3103_3336,0.03019912900625128
43,2014_3103_3341,0.6886083995902934
44,2014_3103_3345,0.07705679136232645
45,2014_3103_3352,0.6886083995902934
46,2014_3103_3376,0.011548870404666008
47,2014_3103_3377,0.7795117061522523
48,2014_3103_3385,0.26263142651014104
49,2014_3103_3386,0.21026340872046279
50,2014_3103_3390,0.030673214670420036
51,2014_3103_3393,0.1381277428834639
52,2014_3103_3397,0.011548870404666008
53,2014_3103_3400,0.15266530432917164
54,2014_3103_3401,0.03019912900625128
55,2014_3103_3404,0.48585562552625094
56,2014_3103_3425,0.21026340872046279
57,2014_3103_3435,0.26263142651014104
58,2014_3103_3443,0.7795117061522523
59,2014_3103_3452,0.030673214670420036
60,2014_3103_3455,0.5714437383265701
61,2014_3103_3457,0.7795117061522523
62,2014_3103_3460,0.5714437383265701
63,2014_3107_3113,0.18620393755930204
64,2014_3107_3119,0.25970524441358533
65,2014_3107_3124,0.012056173466705459
66,2014_3107_3140,0.31382914045421595
67,2014_3107_3143,0.15266530432917164
68,2014_3107_3151,0.21026340872046279
69,2014_3107_3163,0.008438297141249773
70,2014_3107_3169,0.5714437383265701
71,2014_3107_3173,0.07705679136232645
72,2014_3107_3177,0.15266530432917164
73,2014_3107_3181,0.012056173466705459
74,2014_3107_3195,0.31382914045421595
75,2014_3107_3196,0.21026340872046279
76,2014_3107_3199,0.26263142651014104
77,2014_3107_3200,0.26263142651014104
78,2014_3107_3201,0.25970524441358533
79,2014_3107_3208,0.1381277428834639
80,2014_3107_3210,0.26263142651014104
81,2014_3107_3211,0.07705679136232645
82,2014_3107_3214,0.31382914045421595
83,2014_3107_3225,0.4395357930629128
84,2014_3107_3234,0.07705679136232645
85,2014_3107_3235,0.15266530432917164
86,2014_3107_3241,0.21026340872046279
87,2014_3107_3246,0.011548870404666008
88,2014_3107_3257,0.011548870404666008
89,2014_3107_3261,0.15266530432917164
90,2014_3107_3265,0.21026340872046279
91,2014_3107_3268,0.030673214670420036
92,2014_3107_3277,0.03019912900625128
93,2014_3107_3292,0.1381277428834639
94,2014_3107_3301,0.03019912900625128
95,2014_3107_3304,0.030673214670420036
96,2014_3107_3314,0.030673214670420036
97,2014_3107_3315,0.4395357930629128
98,2014_3107_3322,0.5714437383265701
99,2014_3107_3323,0.008438297141249773
100,2014_3107_3328,0.26263142651014104
101,2014_3107_3329,0.03019912900625128
102,2014_3107_3333,0.18620393755930204
103,2014_3107_3335,0.31382914045421595
104,2014_3107_3336,0.011548870404666008
105,2014_3107_3341,0.5714437383265701
106,2014_3107_3345,0.030673214670420036
107,2014_3107_3352,0.5714437383265701
108,2014_3107_3376,0.008438297141249773
109,2014_3107_3377,0.48585562552625094
110,2014_3107_3385,0.1381277428834639
111,2014_3107_3386,0.18620393755930204
112,2014_3107_3390,0.012056173466705459
113,2014_3107_3393,0.07705679136232645
114,2014_3107_3397,0.008438297141249773
115,2014_3107_3400,0.03019912900625128
116,2014_3107_3401,0.011548870404666008
117,2014_3107_3404,0.25970524441358533
118,2014_3107_3425,0.18620393755930204
119,2014_3107_3435,0.1381277428834639
120,2014_3107_3443,0.48585562552625094
121,2014_3107_3452,0.012056173466705459
122,2014_3107_3455,0.4395357930629128
123,2014_3107_3457,0.48585562552625094
124,2014_3107_3460,0.4395357930629128
125,2014_3113_3119,0.8265762060666704
126,2014_3113_3124,0.1381277428834639
127,2014_3113_3140,0.6886083995902934
128,2014_3113_3143,0.25970524441358533
129,2014_3113_3151,0.7795117061522523
130,2014_3113_3163,0.15266530432917164
131,2014_3113_3169,0.8625295115237788
132,2014_3113_3173,0.31382914045421595
133,2014_3113_3177,0.25970524441358533
134,2014_3113_3181,0.1381277428834639
135,2014_3113_3195,0.6886083995902934
136,2014_3113_3196,0.7795117061522523
137,2014_3113_3199,0.5714437383265701
138,2014_3113_3200,0.5714437383265701
139,2014_3113_3201,0.8265762060666704
140,2014_3113_3208,0.4395357930629128
141,2014_3113_3210,0.5714437383265701
142,2014_3113_3211,0.31382914045421595
143,2014_3113_3214,0.6886083995902934
144,2014_3113_3225,0.765163046070141
145,2014_3113_3234,0.31382914045421595
146,2014_3113_3235,0.25970524441358533
147,2014_3113_3241,0.7795117061522523
148,2014_3113_3246,0.18620393755930204
149,2014_3113_3257,0.18620393755930204
150,2014_3113_3261,0.25970524441358533
151,2014_3113_3265,0.7795117061522523
152,2014_3113_3268,0.26263142651014104
153,2014_3113_3277,0.21026340872046279
154,2014_3113_3292,0.4395357930629128
155,2014_3113_3301,0.21026340872046279
156,2014_3113_3304,0.26263142651014104
157,2014_3113_3314,0.26263142651014104
158,2014_3113_3315,0.765163046070141
159,2014_3113_3322,0.8625295115237788
160,2014_3113_3323,0.15266530432917164
161,2014_3113_3328,0.5714437383265701
162,2014_3113_3329,0.21026340872046279
163,2014_3113_3333,0.48585562552625094
164,2014_3113_3335,0.6886083995902934
165,2014_3113_3336,0.18620393755930204
166,2014_3113_3341,0.8625295115237788
167,2014_3113_3345,0.26263142651014104
168,2014_3113_3352,0.8625295115237788
169,2014_3113_3376,0.15266530432917164
170,2014_3113_3377,0.9726216316821136
171,2014_3113_3385,0.4395357930629128
172,2014_3113_3386,0.48585562552625094
173,2014_3113_3390,0.1381277428834639
174,2014_3113_3393,0.31382914045421595
175,2014_3113_3397,0.15266530432917164
176,2014_3113_3400,0.21026340872046279
177,2014_3113_3401,0.18620393755930204
178,2014_3113_3404,0.8265762060666704
179,2014_3113_3425,0.48585562552625094
180,2014_3113_3435,0.4395357930629128
181,2014_3113_3443,0.9726216316821136
182,2014_3113_3452,0.1381277428834639
183,2014_3113_3455,0.765163046070141
184,2014_3113_3457,0.9726216316821136
185,2014_3113_3460,0.765163046070141
186,2014_3119_3124,0.030673214670420036
187,2014_3119_3140,0.4395357930629128
188,2014_3119_3143,0.18620393755930204
189,2014_3119_3151,0.25970524441358533
190,2014_3119_3163,0.011548870404666008
191,2014_3119_3169,0.6886083995902934
192,2014_3119_3173,0.1381277428834639
193,2014_3119_3177,0.18620393755930204
194,2014_3119_3181,0.030673214670420036
195,2014_3119_3195,0.4395357930629128
196,2014_3119_3196,0.25970524441358533
197,2014_3119_3199,0.31382914045421595
198,2014_3119_3200,0.31382914045421595
199,2014_3119_3201,0.48585562552625094
200,2014_3119_3208,0.26263142651014104
201,2014_3119_3210,0.31382914045421595
202,2014_3119_3211,0.1381277428834639
203,2014_3119_3214,0.4395357930629128
204,2014_3119_3225,0.5714437383265701
205,2014_3119_3234,0.1381277428834639
206,2014_3119_3235,0.18620393755930204
207,2014_3119_3241,0.25970524441358533
208,2014_3119_3246,0.03019912900625128
209,2014_3119_3257,0.03019912900625128
210,2014_3119_3261,0.18620393755930204
211,2014_3119_3265,0.25970524441358533
212,2014_3119_3268,0.07705679136232645
213,2014_3119_3277,0.15266530432917164
214,2014_3119_3292,0.26263142651014104
215,2014_3119_3301,0.15266530432917164
216,2014_3119_3304,0.07705679136232645
217,2014_3119_3314,0.07705679136232645
